Release Date,Time,Actual,Forecast,Previous
"Mar 28, 2024",13:00,,,27.25%
"Mar 06, 2024",03:30,27.25%,,21.25%
"Feb 01, 2024",13:00,21.25%,19.25%,19.25%
"Dec 21, 2023",12:30,19.25%,19.25%,19.25%
"Nov 02, 2023",13:15,19.25%,19.25%,19.25%
"Sep 21, 2023",14:20,19.25%,,19.25%
"Aug 03, 2023",14:30,19.25%,18.25%,18.25%
"Jun 22, 2023",14:20,18.25%,18.25%,18.25%
"May 18, 2023",12:59,18.25%,18.25%,18.25%
"Mar 30, 2023",14:43,18.25%,18.25%,16.25%
"Feb 02, 2023",15:51,16.25%,17.75%,16.25%
"Dec 22, 2022",16:27,16.25%,14.50%,13.25%
"Oct 27, 2022",04:19,13.25%,,11.25%
"Sep 22, 2022",12:46,11.25%,12.25%,11.25%
"Aug 18, 2022",11:15,11.25%,11.75%,11.25%
"Jun 23, 2022",11:30,11.25%,11.75%,11.25%
"May 19, 2022",11:32,11.25%,11.00%,9.25%
"Mar 21, 2022",07:23,9.25%,9.25%,8.25%
"Mar 21, 2022",02:55,9.25%,9.25%,8.25%
"Feb 03, 2022",10:40,8.25%,8.25%,8.25%
"Dec 16, 2021",13:19,8.25%,8.25%,8.25%
"Oct 28, 2021",13:35,8.25%,8.25%,8.25%
"Sep 16, 2021",13:38,8.25%,8.25%,8.25%
"Aug 05, 2021",13:01,8.25%,8.25%,8.25%
"Jun 17, 2021",12:58,8.25%,8.25%,8.25%
"Apr 28, 2021",09:51,8.25%,,8.25%
"Mar 18, 2021",12:38,8.25%,8.25%,8.25%
"Feb 04, 2021",11:52,8.25%,8.25%,8.25%
"Dec 24, 2020",13:00,8.25%,8.25%,8.25%
"Nov 12, 2020",13:00,8.25%,8.75%,8.75%
"Sep 24, 2020",13:00,8.75%,9.25%,9.25%
"Aug 13, 2020",13:00,9.25%,9.25%,9.25%
"Jun 25, 2020",13:00,9.25%,9.25%,9.25%
"May 14, 2020",10:15,9.25%,9.25%,9.25%
"Apr 02, 2020",13:00,9.25%,9.25%,9.25%
"Mar 16, 2020",12:30,9.25%,12.25%,12.25%
"Feb 20, 2020",13:00,12.25%,12.25%,12.25%
"Jan 16, 2020",13:00,12.25%,11.75%,12.25%
"Nov 14, 2019",13:00,12.25%,12.25%,13.25%
"Sep 26, 2019",13:00,14.25%,13.25%,14.25%
"Aug 22, 2019",13:00,14.25%,14.75%,15.75%
"Jul 11, 2019",13:00,15.75%,15.75%,15.75%
"May 23, 2019",13:00,15.75%,15.75%,15.75%
"Mar 28, 2019",13:00,15.75%,15.75%,15.75%
"Feb 14, 2019",13:00,15.75%,16.75%,16.75%
"Dec 27, 2018",13:00,16.75%,,16.75%
"Nov 15, 2018",13:00,16.75%,16.75%,16.75%
"Sep 27, 2018",12:00,16.75%,16.75%,16.75%
"Aug 16, 2018",12:00,16.75%,16.75%,16.75%
"Jun 28, 2018",12:00,16.75%,16.75%,16.75%
"May 17, 2018",12:00,16.75%,15.75%,16.75%
"Mar 29, 2018",12:00,16.75%,16.75%,17.75%
"Feb 15, 2018",12:00,17.75%,17.75%,18.75%
"Dec 28, 2017",12:00,18.75%,18.75%,18.75%
"Nov 16, 2017",12:00,18.75%,18.75%,18.75%
"Sep 28, 2017",12:00,18.75%,18.75%,18.75%
"Aug 17, 2017",12:00,18.75%,18.75%,18.75%
"Jul 06, 2017",12:00,18.75%,,16.75%
"May 21, 2017",12:00,16.75%,14.75%,14.75%
"Mar 30, 2017",12:00,14.75%,14.75%,14.75%
"Feb 16, 2017",12:00,14.75%,14.75%,14.75%
"Dec 29, 2016",13:00,14.75%,14.75%,14.75%
"Nov 17, 2016",13:00,14.75%,14.75%,14.75%
"Nov 03, 2016",07:00,14.75%,,11.75%
"Sep 22, 2016",13:00,11.75%,12.75%,11.75%
"Jul 28, 2016",13:00,11.75%,11.75%,11.75%
"Jun 16, 2016",07:00,11.75%,10.75%,10.75%
"Apr 28, 2016",12:00,10.75%,10.75%,10.75%
"Mar 17, 2016",12:17,10.75%,9.88%,9.25%
"Jan 28, 2016",12:05,9.25%,9.25%,9.25%
"Dec 24, 2015",14:34,9.25%,8.75%,8.75%
"Oct 29, 2015",15:21,8.75%,8.75%,8.75%
"Sep 17, 2015",11:49,8.75%,8.75%,8.75%
"Jul 30, 2015",12:49,8.75%,8.75%,8.75%
"Jun 11, 2015",11:29,8.75%,8.75%,8.75%
"Apr 23, 2015",11:50,8.75%,8.75%,8.75%
"Feb 26, 2015",11:45,8.75%,8.75%,8.75%
"Jan 15, 2015",12:00,8.75%,9.25%,9.25%
"Oct 16, 2014",18:00,9.25%,9.25%,9.25%
"Aug 01, 2014  (Jul)",05:00,9.25%,,8.25%
"Jun 01, 2014  (May)",05:00,8.25%,,8.25%
"May 01, 2014  (Apr)",05:00,8.25%,,8.25%
"Mar 01, 2014  (Feb)",05:00,8.25%,,8.25%
"Dec 01, 2013  (Nov)",05:00,8.25%,,9.13%
"Oct 01, 2013  (Sep)",05:00,9.13%,,9.25%
"Sep 01, 2013  (Aug)",05:00,9.25%,,9.75%
"Jul 01, 2013  (Jun)",05:00,9.75%,,9.75%
"Jun 01, 2013  (May)",05:00,9.75%,,9.25%
"Feb 01, 2013  (Jan)",05:00,9.25%,,9.25%
"Jan 01, 2013  (Dec)",05:00,9.25%,,9.25%
"Nov 01, 2012  (Oct)",05:00,9.25%,,9.25%
"Oct 01, 2012  (Sep)",05:00,9.25%,,9.25%
"Aug 01, 2012  (Jul)",05:00,9.25%,,9.25%
"Jul 01, 2012  (Jun)",05:00,9.25%,,9.25%
"Jun 01, 2012  (May)",05:00,9.25%,,9.25%
"Apr 01, 2012  (Mar)",05:00,9.25%,,9.25%
"Mar 01, 2012  (Feb)",05:00,9.25%,,9.25%
"Dec 01, 2011  (Nov)",05:00,9.25%,,8.25%
"Aug 01, 2011  (Jul)",05:00,8.25%,,8.25%
"Jul 01, 2011  (Jun)",05:00,8.25%,,8.25%
"Apr 01, 2011  (Mar)",05:00,8.25%,,8.25%
"Jan 01, 2011  (Dec)",05:00,8.25%,,8.25%
"Dec 01, 2010  (Nov)",05:00,8.25%,,8.25%
"Oct 01, 2010  (Sep)",05:00,8.25%,,8.25%
"Aug 01, 2010  (Jul)",05:00,8.25%,,8.25%
"Jul 01, 2010  (Jun)",05:00,8.25%,,8.25%
"Dec 01, 2009  (Nov)",05:00,8.25%,,8.25%
"Oct 01, 2009  (Sep)",05:00,8.25%,,8.50%
