Release Date,Time,Actual,Forecast,Previous
"Mar 10, 2024 (Feb)",02:00,35.70%,25.10%,29.80%
"Feb 08, 2024 (Jan)",07:10,29.80%,32.50%,33.70%
"Jan 10, 2024 (Dec)",02:30,33.70%,33.40%,34.60%
"Dec 10, 2023 (Nov)",02:00,34.60%,34.80%,35.80%
"Nov 11, 2023 (Oct)",08:00,35.80%,37.10%,38.00%
"Oct 10, 2023 (Sep)",02:00,38.00%,37.60%,37.40%
"Sep 10, 2023  (Aug)",02:00,37.40%,37.10%,36.50%
"Aug 10, 2023  (Jul)",01:35,36.50%,36.50%,35.70%
"Jul 10, 2023  (Jun)",02:00,35.70%,34.50%,32.70%
"Jun 10, 2023  (May)",08:00,32.70%,31.40%,30.60%
"May 10, 2023",01:10,30.60%,31.00%,32.70%
"Apr 10, 2023  (Mar)",03:10,32.70%,33.60%,31.90%
"Mar 09, 2023  (Feb)",02:08,31.90%,26.90%,25.80%
"Feb 09, 2023  (Jan)",01:49,25.80%,23.80%,21.30%
"Jan 10, 2023  (Dec)",02:10,21.30%,20.50%,18.70%
"Dec 08, 2022  (Nov)",02:01,18.70%,18.80%,16.20%
"Nov 10, 2022  (Oct)",02:29,16.20%,15.60%,15.00%
"Oct 10, 2022  (Sep)",02:03,15.00%,14.70%,14.60%
"Sep 08, 2022  (Aug)",02:03,14.60%,14.40%,13.60%
"Aug 10, 2022  (Jul)",02:11,13.60%,13.20%,13.20%
"Jul 07, 2022  (Jun)",10:46,13.20%,14.30%,13.50%
"Jun 09, 2022  (May)",02:25,13.50%,14.20%,13.10%
"May 10, 2022  (Apr)",02:22,13.10%,11.80%,10.50%
"Apr 10, 2022  (Mar)",02:49,10.50%,10.00%,8.80%
"Mar 10, 2022  (Feb)",02:05,8.80%,8.00%,7.30%
"Feb 10, 2022  (Jan)",01:56,7.30%,6.70%,5.90%
"Jan 10, 2022  (Dec)",02:34,5.90%,6.10%,5.60%
"Dec 09, 2021  (Nov)",02:26,5.60%,6.20%,6.30%
"Nov 10, 2021  (Oct)",02:24,6.30%,6.00%,6.60%
"Oct 10, 2021  (Sep)",02:44,6.60%,5.80%,5.70%
"Sep 09, 2021  (Aug)",08:00,5.70%,,5.40%
"Aug 10, 2021  (Jul)",08:00,5.40%,,4.90%
"Jul 08, 2021  (Jun)",02:30,4.90%,,4.80%
"Jun 10, 2021  (May)",02:30,4.80%,,4.80%
"May 10, 2021  (Apr)",04:00,4.10%,,4.50%
"Apr 08, 2021  (Mar)",02:20,4.50%,,4.50%
"Mar 10, 2021  (Feb)",01:45,4.50%,,4.30%
"Feb 10, 2021  (Jan)",08:00,4.30%,,5.40%
"Jan 10, 2021  (Dec)",02:30,5.40%,,5.70%
"Dec 10, 2020  (Nov)",02:00,5.70%,,4.50%
"Nov 10, 2020  (Oct)",04:00,4.50%,,3.70%
"Oct 10, 2020  (Sep)",08:00,3.70%,,3.40%
"Sep 10, 2020  (Aug)",02:00,3.40%,,4.20%
"Aug 10, 2020  (Jul)",08:00,4.20%,,5.60%
"Jul 09, 2020  (Jun)",03:00,5.60%,,4.70%
"Jun 10, 2020  (May)",02:00,4.70%,,5.90%
"May 10, 2020  (Apr)",08:00,5.90%,,5.10%
"Apr 09, 2020  (Mar)",08:00,5.10%,,5.30%
"Mar 10, 2020  (Feb)",04:00,5.30%,,7.20%
"Feb 10, 2020  (Jan)",04:00,7.20%,,7.10%
"Jan 09, 2020  (Dec)",03:00,7.10%,,3.60%
"Dec 10, 2019  (Nov)",03:30,3.60%,,3.10%
"Nov 09, 2019  (Oct)",22:30,3.10%,,4.80%
"Oct 10, 2019  (Sep)",08:00,4.80%,,7.50%
"Sep 10, 2019  (Aug)",08:00,7.50%,,8.70%
"Aug 08, 2019  (Jul)",02:00,8.70%,,9.40%
"Jul 10, 2019  (Jun)",08:00,9.40%,,14.10%
"Jun 10, 2019  (May)",02:30,14.10%,,13.00%
"May 09, 2019  (Apr)",08:00,13.00%,,14.20%
"Apr 10, 2019  (Mar)",02:00,14.20%,,14.40%
"Mar 10, 2019",03:00,14.40%,,12.70%
"Feb 10, 2019  (Jan)",04:00,12.70%,,12.00%
"Jan 11, 2019  (Dec)",06:00,12.00%,,15.70%
"Dec 10, 2018  (Nov)",03:25,15.70%,,17.70%
"Nov 10, 2018  (Oct)",11:00,17.70%,,16.00%
"Oct 10, 2018  (Sep)",02:00,16.00%,,14.20%
"Sep 10, 2018  (Aug)",11:00,14.20%,,13.50%
"Aug 09, 2018  (Jul)",02:00,13.50%,,14.40%
"Jul 10, 2018  (Jun)",01:55,14.40%,,11.40%
"Jun 10, 2018  (May)",02:00,11.40%,,13.10%
"May 10, 2018  (Apr)",02:00,13.10%,,13.30%
"Apr 10, 2018  (Mar)",01:50,13.30%,,14.40%
"Mar 08, 2018  (Feb)",01:45,14.40%,,17.10%
"Feb 08, 2018  (Jan)",01:45,17.10%,,21.90%
"Jan 10, 2018  (Dec)",11:34,21.90%,,26.00%
"Dec 10, 2017  (Nov)",02:00,26.00%,,30.80%
"Nov 09, 2017  (Oct)",02:00,30.80%,,31.60%
"Oct 10, 2017  (Sep)",02:00,31.60%,,31.90%
"Sep 11, 2017  (Aug)",02:00,31.92%,,33.00%
"Aug 10, 2017  (Jul)",02:00,33.00%,,29.80%
"Jul 10, 2017  (Jun)",02:00,29.80%,,29.70%
"Jun 08, 2017  (May)",02:00,29.70%,,31.50%
"May 10, 2017  (Apr)",02:00,31.50%,,30.90%
"Apr 10, 2017  (Mar)",02:00,30.90%,,30.20%
"Mar 09, 2017  (Feb)",02:00,30.20%,,28.10%
"Feb 13, 2017  (Jan)",02:00,28.10%,,23.30%
"Jan 10, 2017  (Dec)",02:00,23.30%,,19.40%
"Dec 08, 2016  (Nov)",01:00,19.40%,,13.60%
"Nov 10, 2016  (Oct)",01:00,13.60%,,14.10%
"Oct 10, 2016  (Sep)",01:00,14.10%,,15.50%
"Sep 08, 2016  (Aug)",01:00,15.50%,,14.00%
"Aug 10, 2016  (Jul)",00:00,14.00%,,14.00%
"Jun 09, 2016  (May)",18:00,12.30%,,10.30%
"May 10, 2016  (Apr)",06:36,10.30%,,9.00%
"Jan 10, 2016",02:30,11.10%,,11.10%
"Dec 10, 2015",02:30,11.10%,,9.70%
"Nov 10, 2015  (Oct)",02:30,9.70%,,9.20%
"Oct 08, 2015  (Sep)",06:00,9.20%,,7.90%
"Sep 10, 2015",02:05,7.90%,,8.40%
"Aug 10, 2015  (Jul)",04:20,8.40%,,11.40%
"Jul 09, 2015  (Jun)",02:28,11.40%,,13.10%
"Jun 10, 2015  (May)",02:15,13.10%,,11.00%
"May 10, 2015  (Apr)",02:05,11.00%,,11.50%
"Mar 10, 2015  (Feb)",02:10,10.60%,,9.70%
"Feb 10, 2015  (Jan)",02:00,9.70%,,10.10%
"Jan 08, 2015  (Dec)",06:30,10.10%,,9.10%
"Dec 10, 2014  (Nov)",02:10,9.10%,,11.80%
"Nov 10, 2014  (Oct)",05:00,11.80%,10.80%,11.50%
"Oct 09, 2014",03:00,11.10%,,11.49%
"Sep 10, 2014",06:00,11.49%,,11.04%
"Aug 11, 2014",05:00,10.60%,,8.20%
"Jul 01, 2014  (Jun)",05:00,8.20%,,8.24%
"Jun 01, 2014  (May)",05:00,8.24%,,8.87%
"May 01, 2014  (Apr)",05:00,8.87%,,9.82%
"Apr 01, 2014  (Mar)",05:00,9.82%,,9.77%
"Mar 01, 2014  (Feb)",05:00,9.77%,,11.36%
"Feb 01, 2014  (Jan)",05:00,11.36%,,11.65%
"Jan 01, 2014  (Dec)",05:00,11.65%,,12.97%
"Dec 01, 2013  (Nov)",05:00,12.97%,,10.45%
"Nov 01, 2013  (Oct)",05:00,10.45%,,10.14%
"Oct 01, 2013  (Sep)",05:00,10.14%,,9.74%
"Sep 01, 2013  (Aug)",05:00,9.74%,,10.28%
"Aug 01, 2013  (Jul)",05:00,10.28%,,9.75%
"Jul 01, 2013  (Jun)",05:00,9.75%,,8.19%
"Jun 01, 2013  (May)",05:00,8.19%,,8.11%
"May 01, 2013  (Apr)",05:00,8.11%,,7.59%
"Apr 01, 2013  (Mar)",05:00,7.59%,,8.22%
"Mar 01, 2013  (Feb)",05:00,8.22%,,6.29%
"Feb 01, 2013  (Jan)",05:00,6.29%,,4.70%
"Jan 01, 2013  (Dec)",05:00,4.70%,,4.29%
"Dec 01, 2012  (Nov)",05:00,4.29%,,6.74%
"Nov 01, 2012  (Oct)",05:00,6.74%,,6.26%
"Oct 01, 2012  (Sep)",05:00,6.26%,,6.43%
"Sep 01, 2012  (Aug)",05:00,6.43%,,6.38%
"Aug 01, 2012  (Jul)",05:00,6.38%,,7.27%
