Year,GDP Growth Rate
1990,5.66702915715834
1991,1.12540459360228
1992,4.47285918516198
1993,2.90079079860183
1994,3.97317218132913
1995,4.6424587739578
1996,4.98873056587423
1997,5.49235474181435
1998,5.57549746119194
1999,6.05343878285713
2000,6.37000383212826
2001,3.5352519726413
2002,2.39020402595989
2003,3.19345473739745
2004,4.0920716112534
2005,4.47174447174434
2006,6.84383819379117
2007,7.08782742681038
2008,7.15628356605819
2009,4.67359979952391
2010,5.1472348575531
2011,1.7645719489982
2012,2.22619979863525
2013,2.18546605362143
2014,2.91591187985748
2015,4.37201907790141
2016,4.34664345555447
2017,4.18122099994778
2018,5.3311086189448
2019,5.55209307156956
2020,3.55016483786838
2021,3.29064601202211
2022,6.58784560886967
2023, 4.2
