Date,Price,Open,High,Low
04/18/1997,1.1410,1.1343,1.1420,1.1333
04/17/1997,1.1337,1.1315,1.1361,1.1290
04/16/1997,1.1300,1.1317,1.1341,1.1280
04/15/1997,1.1313,1.1285,1.1335,1.1245
04/14/1997,1.1310,1.1365,1.1371,1.1310
04/11/1997,1.1346,1.1360,1.1384,1.1304
04/10/1997,1.1362,1.1335,1.1414,1.1324
04/09/1997,1.1327,1.1418,1.1420,1.1312
04/08/1997,1.1400,1.1425,1.1435,1.1377
04/07/1997,1.1423,1.1555,1.1555,1.1415
04/04/1997,1.1558,1.1652,1.1668,1.1558
04/03/1997,1.1655,1.1620,1.1685,1.1575
04/02/1997,1.1617,1.1660,1.1661,1.1603
04/01/1997,1.1672,1.1625,1.1676,1.1614
03/31/1997,1.1661,1.1580,1.1682,1.1580
03/28/1997,1.1578,1.1620,1.1626,1.1564
03/27/1997,1.1620,1.1499,1.1630,1.1499
03/26/1997,1.1514,1.1503,1.1524,1.1444
03/25/1997,1.1498,1.1492,1.1532,1.1469
03/24/1997,1.1508,1.1495,1.1518,1.1453
03/21/1997,1.1511,1.1475,1.1543,1.1444
03/20/1997,1.1448,1.1483,1.1586,1.1437
03/19/1997,1.1521,1.1528,1.1550,1.1484
03/18/1997,1.1550,1.1440,1.1563,1.1436
03/17/1997,1.1450,1.1445,1.1510,1.1427
03/14/1997,1.1454,1.1385,1.1472,1.1359
03/13/1997,1.1398,1.1460,1.1475,1.1367
03/12/1997,1.1432,1.1400,1.1439,1.1347
03/11/1997,1.1411,1.1415,1.1430,1.1370
03/10/1997,1.1423,1.1353,1.1425,1.1353
03/07/1997,1.1344,1.1330,1.1377,1.1293
03/06/1997,1.1343,1.1365,1.1365,1.1299
03/05/1997,1.1356,1.1350,1.1375,1.1333
03/04/1997,1.1352,1.1430,1.1452,1.1334
03/03/1997,1.1436,1.1455,1.1491,1.1423
02/28/1997,1.1468,1.1502,1.1515,1.1441
02/27/1997,1.1496,1.1495,1.1526,1.1470
02/26/1997,1.1501,1.1597,1.1627,1.1472
02/25/1997,1.1610,1.1600,1.1612,1.1553
02/24/1997,1.1599,1.1510,1.1648,1.1505
02/21/1997,1.1488,1.1495,1.1540,1.1475
02/20/1997,1.1513,1.1430,1.1522,1.1430
02/19/1997,1.1422,1.1480,1.1529,1.1400
02/18/1997,1.1502,1.1450,1.1506,1.1389
02/17/1997,1.1450,1.1479,1.1509,1.1420
02/14/1997,1.1508,1.1535,1.1567,1.1479
02/13/1997,1.1544,1.1580,1.1610,1.1515
02/12/1997,1.1550,1.1598,1.1646,1.1505
02/11/1997,1.1609,1.1722,1.1725,1.1608
02/10/1997,1.1721,1.1800,1.1809,1.1709
02/07/1997,1.1710,1.1746,1.1747,1.1594
02/06/1997,1.1746,1.1790,1.1790,1.1722
02/05/1997,1.1798,1.1771,1.1800,1.1723
02/04/1997,1.1761,1.1798,1.1811,1.1756
02/03/1997,1.1784,1.1770,1.1797,1.1713
01/31/1997,1.1796,1.1830,1.1875,1.1765
01/30/1997,1.1826,1.1785,1.1865,1.1775
01/29/1997,1.1786,1.1740,1.1851,1.1703
01/28/1997,1.1772,1.1763,1.1826,1.1704
01/27/1997,1.1825,1.1860,1.1877,1.1798
01/24/1997,1.1887,1.1870,1.1929,1.1835
01/23/1997,1.1838,1.1869,1.1906,1.1801
01/22/1997,1.1865,1.1968,1.1968,1.1841
01/21/1997,1.1952,1.1997,1.2047,1.1952
01/20/1997,1.1984,1.2065,1.2066,1.1944
01/17/1997,1.2045,1.2200,1.2200,1.2045
