Release Date,Time,Actual,Forecast,Previous
03/27/2024,47.2817,47.8222,47.9015,47.1933
03/26/2024,47.8220,47.4040,47.9500,47.3459
03/25/2024,47.3997,46.7872,47.5250,46.5000
03/22/2024,46.7000,46.7500,46.7500,46.7500
03/21/2024,46.6000,46.9000,47.0900,46.5700
03/20/2024,46.8500,47.0500,47.2000,46.8500
03/19/2024,47.0000,47.1500,47.2900,46.9500
03/18/2024,47.0600,47.2500,47.4200,47.0500
03/16/2024,47.7500,47.8000,47.8500,47.8000
03/15/2024,47.7500,47.8000,47.8000,47.8000
03/14/2024,47.7500,48.4500,48.5700,47.7500
03/13/2024,48.4000,48.9000,49.0500,48.3100
03/12/2024,48.7500,49.0000,49.1800,48.7000
03/11/2024,49.0000,49.1500,49.3000,48.9500
03/08/2024,49.3500,49.4000,49.4000,49.4000
03/07/2024,49.3000,49.6000,49.6500,49.3000
03/06/2024,49.5000,30.9000,50.8000,30.8000
03/05/2024,30.8500,30.9000,30.9499,30.8000
03/04/2024,30.8500,30.9000,30.9499,30.8000
03/01/2024,30.8500,30.9000,30.9000,30.9000
02/29/2024,30.8500,30.9000,30.9499,30.8000
02/28/2024,30.9300,30.9000,30.9499,30.8000
02/27/2024,30.8500,30.9000,30.9499,30.8000
02/26/2024,30.9300,30.9000,30.9499,30.8000
02/24/2024,30.8500,30.9000,30.9000,30.9000
02/23/2024,30.8930,30.9009,30.9860,30.8878
02/22/2024,30.8500,30.9000,30.9499,30.8000
02/21/2024,30.8500,30.9000,30.9499,30.8000
02/20/2024,30.9300,30.9000,30.9499,30.8000
02/19/2024,30.8500,30.9002,30.9499,30.8000
02/17/2024,30.8500,30.9000,30.9000,30.9000
02/16/2024,30.8982,30.9045,30.9128,30.8881
02/15/2024,30.8500,30.9000,30.9499,30.8000
02/14/2024,30.8500,30.9000,30.9499,30.8000
02/13/2024,30.8500,30.9000,30.9499,30.8000
02/12/2024,30.8500,30.9000,30.9499,30.8000
02/09/2024,30.8975,30.8972,30.9111,30.8876
02/08/2024,30.8500,30.9000,30.9499,30.8000
02/07/2024,30.8500,30.9000,30.9499,30.8000
02/06/2024,30.8500,30.9002,30.9499,30.8000
02/05/2024,30.8500,30.9000,30.9499,30.8000
02/02/2024,30.9030,30.9001,30.9123,30.8857
02/01/2024,30.8500,30.9000,30.9499,30.8000
01/31/2024,30.8500,30.9000,30.9499,30.8000
01/30/2024,30.9300,30.9000,30.9499,30.8000
01/29/2024,30.8500,30.9000,30.9499,30.9000
01/26/2024,30.9043,30.9034,30.9120,30.8848
01/25/2024,30.9021,30.9024,30.9185,30.8850
01/24/2024,30.8500,30.9000,30.9499,30.8000
01/23/2024,30.8500,30.9000,30.9499,30.8000
01/22/2024,30.8500,30.9000,30.9499,30.8000
01/19/2024,30.8984,30.8967,30.9192,30.8875
01/18/2024,30.8500,30.9000,30.9499,30.8000
01/17/2024,30.8500,30.9000,30.9499,30.8000
01/16/2024,30.8500,30.9000,30.9499,30.8000
01/15/2024,30.9300,30.9000,30.9499,30.8000
01/12/2024,30.9023,30.8983,30.9223,30.8884
01/11/2024,30.8500,30.9000,30.9499,30.8000
01/10/2024,30.8500,30.9000,30.9499,30.8000
01/09/2024,30.8500,30.9000,30.9499,30.8000
01/08/2024,30.8500,30.9000,30.9499,30.8000
01/05/2024,30.8032,30.7971,30.8900,30.7823
01/04/2024,30.7500,30.9000,30.9499,30.8000
01/03/2024,30.9000,30.9000,30.9499,30.8000
01/02/2024,30.9000,30.9000,30.9499,30.8000
01/01/2024,31.0323,31.0302,31.0351,30.9213
12/29/2023,30.9292,30.9187,30.9389,30.9124
12/28/2023,30.9000,30.9000,30.9499,30.8000
12/27/2023,30.7500,30.9000,30.9499,30.8000
12/26/2023,30.8500,30.9000,30.9499,30.8000
12/25/2023,30.9499,30.9000,30.9499,30.8000
12/22/2023,30.8919,30.9007,30.9133,30.8863
12/21/2023,30.8500,30.9000,30.9499,30.8000
12/20/2023,30.8500,30.9000,30.9499,30.8000
12/19/2023,30.9000,30.9000,30.9499,30.8000
12/18/2023,30.8500,30.9000,30.9499,30.8000
12/15/2023,30.9243,30.9310,30.9509,30.9117
12/14/2023,30.9000,30.9000,30.9499,30.8000
12/13/2023,30.8500,30.9000,30.9499,30.8000
12/12/2023,30.9000,30.9000,30.9499,30.8000
12/11/2023,30.9000,30.9000,30.9499,30.8000
12/08/2023,30.8964,30.8997,30.9121,30.8829
12/07/2023,30.8500,30.9000,30.9499,30.9000
12/06/2023,30.9499,30.9000,30.9499,30.8000
12/05/2023,30.7500,30.9000,30.9499,30.8000
12/04/2023,30.9000,30.9000,30.9499,30.8000
12/01/2023,30.9028,30.9037,30.9118,30.8884
11/30/2023,30.8500,30.9000,30.9499,30.8000
11/29/2023,30.9499,30.9000,30.9499,30.8000
11/28/2023,30.9000,30.9000,30.9499,30.8000
11/27/2023,30.8500,30.9000,30.9499,30.8000
11/24/2023,30.8970,30.9031,30.9103,30.8737
11/23/2023,30.8500,30.9000,30.9499,30.8000
11/22/2023,30.8500,30.9000,30.9499,30.8000
11/21/2023,30.8500,30.9000,30.9499,30.8000
11/20/2023,30.9200,30.9000,30.9499,30.9000
11/17/2023,30.9233,30.9267,30.9410,30.9109
11/16/2023,30.9000,30.9000,30.9499,30.8000
11/15/2023,30.9000,30.9000,30.9499,30.8000
11/14/2023,30.8500,30.9000,30.9499,30.8000
11/13/2023,30.8500,30.9000,30.9499,30.8000
11/10/2023,30.8933,30.8980,30.9181,30.8874
11/09/2023,30.8500,30.9000,30.9499,30.8000
11/08/2023,30.8500,30.9000,30.9499,30.8000
11/07/2023,30.7500,30.9000,30.9499,30.8000
11/06/2023,30.8500,30.9000,30.9499,30.8000
11/03/2023,30.8875,30.9011,30.9214,30.8742
11/02/2023,30.8500,30.9000,30.9499,30.8000
11/01/2023,30.8500,30.9499,30.9499,30.8000
10/31/2023,30.9000,30.9000,30.9499,30.8000
10/30/2023,30.8500,30.9000,30.9499,30.8000
10/27/2023,30.9017,30.9022,30.9241,30.8406
10/26/2023,30.8500,30.9000,30.9499,30.8000
10/25/2023,30.8500,30.9000,30.9499,30.9000
10/24/2023,30.9000,30.9000,30.9499,30.8000
10/23/2023,30.8500,30.9000,30.9499,30.8000
10/20/2023,30.8876,30.8941,30.9108,30.8868
10/19/2023,30.8500,30.9000,30.9499,30.8000
10/18/2023,30.9000,30.9000,30.9499,30.9000
10/17/2023,30.8500,30.9000,30.9499,30.8000
10/16/2023,30.9000,30.9002,30.9499,30.8000
10/13/2023,30.8500,30.9000,30.9000,30.9000
10/12/2023,30.8500,30.9000,30.9499,30.8000
10/11/2023,30.9000,30.9000,30.9499,30.8000
10/10/2023,30.8500,30.9002,30.9499,30.8000
10/09/2023,30.8500,30.9350,30.9499,30.8000
10/06/2023,30.7940,30.8026,30.9000,30.7858
10/05/2023,30.8026,30.8015,30.9150,30.7829
10/04/2023,30.7500,30.9000,30.9499,30.8000
10/03/2023,30.9000,30.9000,30.9499,30.8000
10/02/2023,30.9000,30.9002,30.9499,30.8000
09/30/2023,30.8500,30.9000,30.9000,30.9000
09/29/2023,30.9012,30.9033,30.9368,30.8849
09/28/2023,30.9033,30.8980,30.9141,30.8842
09/27/2023,30.8500,30.9000,30.9499,30.8000
09/26/2023,30.9000,30.9000,30.9499,30.8000
09/25/2023,30.9000,30.9037,30.9499,30.8000
09/22/2023,30.8840,30.9021,30.9153,30.8840
09/21/2023,30.8500,30.9000,30.9499,30.8000
09/20/2023,30.8500,30.9000,30.9499,30.8000
09/19/2023,30.8500,30.9000,30.9499,30.8000
09/18/2023,30.8500,30.9000,30.9499,30.8000
09/15/2023,30.9497,30.9498,30.9634,30.9050
09/14/2023,30.9499,30.9000,30.9499,30.8000
09/13/2023,30.8500,30.9000,30.9499,30.8000
09/12/2023,30.8500,30.9000,30.9499,30.8000
09/11/2023,30.9000,30.9000,30.9499,30.8000
09/08/2023,30.9013,30.8984,30.9111,30.8854
09/07/2023,30.8500,30.9000,30.9499,30.8000
09/06/2023,30.8500,30.9000,30.9499,30.8000
09/05/2023,30.9000,30.9000,30.9499,30.8000
09/04/2023,30.8500,30.9000,30.9499,30.8000
09/02/2023,30.8500,30.9000,30.9000,30.9000
09/01/2023,30.8941,30.9025,30.9155,30.8858
08/31/2023,30.8500,30.9000,30.9499,30.8000
08/30/2023,30.8500,30.9000,30.9499,30.8000
08/29/2023,30.9499,30.9000,30.9499,30.8000
08/28/2023,30.8500,30.9000,30.9499,30.8000
08/25/2023,30.8990,30.9005,30.9127,30.8819
08/24/2023,30.8500,30.9000,30.9499,30.8000
08/23/2023,30.8500,30.8000,30.9499,30.8000
08/22/2023,30.8500,30.9000,30.9499,30.8000
08/21/2023,30.8500,30.9000,30.9499,30.8000
08/18/2023,30.8925,30.8898,30.9698,30.8350
08/17/2023,30.8500,30.9000,30.9499,30.8000
08/16/2023,30.8500,30.9000,30.9499,30.8000
08/15/2023,30.8500,30.9000,30.9499,30.8000
08/14/2023,30.8500,30.9000,30.9499,30.8000
08/11/2023,30.9049,30.9000,30.9137,30.8870
08/10/2023,30.8500,30.8000,30.9499,30.8000
08/09/2023,30.8500,30.9000,30.9499,30.8000
08/08/2023,30.8500,30.9000,30.9499,30.8000
08/07/2023,30.8500,30.8000,30.9499,30.8000
08/04/2023,30.9632,30.9496,30.9772,30.9334
08/03/2023,30.9499,30.9499,30.9499,30.8000
08/02/2023,30.8500,30.8000,30.9499,30.8000
08/01/2023,30.8500,30.9000,30.9499,30.8000
07/31/2023,30.8500,30.9000,30.9499,30.8000
07/29/2023,30.8500,30.9000,30.9000,30.9000
07/28/2023,30.8973,30.9074,30.9188,30.8555
07/27/2023,30.8500,30.9000,30.9499,30.8000
07/26/2023,30.8500,30.9000,30.9499,30.8000
07/25/2023,30.8500,30.9000,30.9499,30.8000
07/24/2023,30.8500,30.9000,30.9499,30.8000
07/22/2023,30.8500,30.9000,30.9000,30.9000
07/21/2023,30.7932,30.8044,30.8127,30.7875
07/20/2023,30.8044,30.7967,30.8950,30.7890
07/19/2023,30.7500,30.9000,30.9499,30.8000
07/18/2023,30.8500,30.9000,30.9499,30.8000
07/17/2023,30.8500,30.9000,30.9499,30.8000
07/15/2023,30.8500,30.9000,30.9000,30.9000
07/14/2023,30.9044,30.9011,30.9116,30.8738
07/13/2023,30.8500,30.9000,30.9499,30.8000
07/12/2023,30.9000,30.9000,30.9499,30.8000
07/11/2023,30.9000,30.9000,30.9499,30.8000
07/10/2023,30.8500,30.9000,30.9499,30.8000
07/07/2023,30.8983,30.9019,30.9135,30.8310
07/06/2023,30.8500,30.9499,30.9499,30.8000
07/05/2023,30.8500,30.9112,30.9499,30.8000
07/04/2023,30.8500,30.9000,30.9499,30.8000
07/03/2023,30.9017,30.9123,30.9321,30.7132
06/30/2023,30.8500,30.9000,30.9000,30.9000
06/29/2023,30.8983,30.9018,30.9132,30.8446
06/28/2023,30.9018,30.8970,30.9212,30.8786
06/27/2023,30.8500,30.9000,30.9000,30.9000
06/26/2023,30.8500,30.9000,30.9499,30.8000
06/23/2023,30.8500,30.9000,30.9000,30.9000
06/22/2023,30.8800,30.9000,30.9499,30.8000
06/21/2023,30.8500,30.9112,30.9499,30.8000
06/20/2023,30.8500,30.8000,30.9499,30.8000
06/19/2023,30.8500,30.9000,30.9499,30.8000
06/17/2023,30.8500,30.9000,30.9000,30.9000
06/16/2023,30.8959,30.9031,30.9160,30.8843
06/15/2023,30.8500,30.9000,30.9499,30.8000
06/14/2023,30.8500,30.9000,30.9499,30.8000
06/13/2023,30.8500,30.9000,30.9499,30.8000
06/12/2023,30.8500,30.9000,30.9499,30.8000
06/09/2023,30.9429,30.9555,30.9635,30.8950
06/08/2023,30.9499,30.8000,30.9499,30.8000
06/07/2023,30.9499,30.9000,30.9499,30.8000
06/06/2023,30.8500,30.9000,30.9499,30.8000
06/05/2023,30.7500,30.9000,30.9499,30.8000
06/03/2023,30.9000,30.9250,30.9250,30.9250
06/02/2023,30.8941,30.8962,30.9137,30.8834
06/01/2023,30.8500,30.9000,30.9499,30.8000
05/31/2023,30.8500,30.8000,30.9499,30.8000
05/30/2023,30.8500,30.9000,30.9499,30.8000
05/29/2023,30.8500,30.9000,30.9499,30.8000
05/27/2023,30.8500,30.9000,30.9000,30.9000
05/26/2023,30.9054,30.9005,30.9125,30.8854
05/25/2023,30.8500,30.9000,30.9499,30.8000
05/24/2023,30.8500,30.9000,30.9499,30.8000
05/23/2023,30.7500,30.8000,30.9499,30.8000
05/22/2023,30.8500,30.9000,30.9499,30.8000
05/19/2023,30.9010,30.8954,30.9137,30.8866
05/18/2023,30.8500,30.9000,30.9499,30.8000
05/17/2023,30.8500,30.9000,30.9499,30.8000
05/16/2023,30.8500,30.9000,30.9499,30.8000
05/15/2023,30.8500,30.9000,30.9499,30.8000
05/11/2023,30.8500,30.9000,30.9499,30.8000
05/10/2023,30.8500,30.9153,30.9499,30.8000
05/09/2023,30.8500,30.9000,30.9499,30.8000
05/08/2023,30.8500,30.9000,30.9499,30.8000
05/06/2023,30.7500,30.8000,30.8000,30.8000
05/05/2023,30.7500,30.8000,30.8000,30.8000
05/03/2023,30.9499,30.9000,30.9499,30.8000
05/02/2023,30.8800,30.9000,30.9499,30.8000
05/01/2023,30.8500,30.9000,30.9499,30.8000
04/27/2023,30.8500,30.9000,30.9499,30.8000
04/26/2023,30.9499,30.9000,30.9499,30.8000
04/24/2023,30.8500,30.9000,30.9000,30.9000
04/19/2023,30.8500,30.9163,30.9499,30.8000
04/18/2023,30.8500,30.9000,30.9499,30.8000
04/13/2023,30.8500,30.9100,30.9499,30.8000
04/12/2023,30.8500,30.9000,30.9499,30.8000
04/11/2023,30.7500,30.9000,30.9499,30.8000
04/10/2023,30.8500,30.9000,30.9499,30.8000
04/06/2023,30.8500,30.9000,30.9499,30.8000
04/05/2023,30.8500,30.9000,30.9599,30.8000
04/04/2023,30.8500,30.9000,30.9550,30.8000
04/03/2023,30.8500,30.8000,30.9499,30.8000
03/31/2023,30.7500,30.8000,30.8000,30.8000
03/30/2023,30.8500,30.9000,30.9499,30.8000
03/29/2023,30.7500,30.9000,30.9499,30.8000
03/28/2023,30.8500,30.9000,30.9499,30.8000
03/27/2023,30.8500,30.9000,30.9499,30.8000
03/24/2023,30.8500,30.9000,30.9000,30.9000
03/23/2023,30.9499,30.9499,30.9499,30.8000
03/22/2023,30.8500,30.9000,30.9499,30.8000
03/21/2023,30.8500,30.9499,30.9499,30.9000
03/20/2023,30.8500,30.9000,30.9550,30.8000
03/16/2023,30.7500,30.9000,30.9550,30.8000
03/15/2023,30.8500,30.9000,30.9499,30.8000
03/14/2023,30.8500,30.9000,30.9499,30.8000
03/13/2023,30.8500,30.9000,30.9499,30.8000
03/09/2023,30.8500,30.8800,30.9499,30.7800
03/08/2023,30.8300,30.7300,30.9300,30.7300
03/07/2023,30.6800,30.6800,30.8799,30.6550
03/06/2023,30.8299,30.7050,30.8300,30.6200
03/02/2023,30.7699,30.5300,30.7799,30.5300
03/01/2023,30.5800,30.6150,30.6800,30.5300
02/28/2023,30.5800,30.6800,30.6800,30.5300
02/27/2023,30.5800,30.6150,30.6800,30.5300
