Release Date,Time,Actual,Forecast,Previous
03/25/2024,50.5648,50.5648,50.5648,50.5648
03/24/2024,50.5648,50.5648,50.5648,50.5648
03/22/2024,50.4594,50.6619,50.7039,50.4170
03/21/2024,50.6076,51.2148,51.5220,50.6386
03/20/2024,51.1649,51.1151,51.3182,50.7807
03/19/2024,51.0655,51.2227,51.3768,50.9173
03/18/2024,51.1589,51.4585,51.6712,51.1850
03/15/2024,51.9854,52.0208,52.1044,51.9706
03/14/2024,51.9568,53.0406,53.1404,52.0064
03/13/2024,52.9738,53.3238,53.6117,52.8278
03/12/2024,53.2545,53.5871,53.7783,53.1963
03/11/2024,53.5374,53.7652,53.9737,53.5078
03/08/2024,53.9741,54.0284,54.2486,53.9174
03/07/2024,53.9638,53.9946,54.1707,53.6607
03/06/2024,53.9402,33.5543,55.2603,33.4350
03/05/2024,33.4877,33.5451,33.6240,33.4103
03/04/2024,33.4846,33.5467,33.6178,33.3980
03/01/2024,33.4322,33.3828,33.5080,33.3643
02/29/2024,33.3273,33.5266,33.5900,33.3566
02/28/2024,33.5158,33.5080,33.5622,33.2887
02/27/2024,33.4537,33.5668,33.6318,33.4165
02/26/2024,33.5560,33.5064,33.6039,33.3333
02/23/2024,33.3735,33.4462,33.4972,33.4075
02/22/2024,33.3890,33.4215,33.6859,33.3782
02/21/2024,33.3704,33.4369,33.4848,33.2979
02/20/2024,33.4137,33.3071,33.5265,33.1731
02/19/2024,33.2471,33.2994,33.3858,33.1685
02/16/2024,33.2378,33.2793,33.3349,33.1603
02/15/2024,33.2285,33.1464,33.3501,33.0407
02/14/2024,33.0928,33.0924,33.1969,32.9822
02/13/2024,33.0311,33.2824,33.4013,33.0630
02/12/2024,33.2254,33.3133,33.4259,33.1608
02/09/2024,33.2625,33.3071,33.3581,33.2530
02/08/2024,33.2440,33.2855,33.3873,33.1897
02/07/2024,33.2285,33.2330,33.3595,33.1639
02/06/2024,33.1761,33.1959,33.2913,33.1023
02/05/2024,33.1360,33.3226,33.3780,33.1325
02/02/2024,33.2686,33.5945,33.6764,33.3102
02/01/2024,33.5340,33.4153,33.6068,33.2116
01/31/2024,33.3674,33.5544,33.6455,33.3087
01/30/2024,33.5405,33.4740,33.5900,33.3764
01/29/2024,33.4198,33.5567,33.5807,33.3581
01/26/2024,33.4784,33.5049,33.6362,33.4106
01/25/2024,33.4599,33.6347,33.6903,33.4384
01/24/2024,33.5741,33.5404,33.7830,33.4565
01/23/2024,33.4630,33.6285,33.7834,33.4384
01/22/2024,33.5679,33.6547,33.7602,33.5736
01/19/2024,33.6172,33.6053,33.6764,33.5744
01/18/2024,33.5463,33.6254,33.7540,33.5141
01/17/2024,33.5679,33.6007,33.6697,33.4658
01/16/2024,33.5463,33.8793,33.8855,33.5258
01/15/2024,33.8622,33.8494,33.9459,33.7691
01/12/2024,33.7777,33.9081,33.9514,33.7892
01/11/2024,33.8424,33.9066,34.0094,33.7722
01/10/2024,33.8455,33.7783,33.9242,33.6567
01/09/2024,33.7160,33.8417,33.9227,33.7119
01/08/2024,33.7777,33.7137,33.9273,33.6644
01/05/2024,33.6436,33.7168,33.8785,33.4996
01/04/2024,33.6497,33.7747,33.9536,33.6382
01/03/2024,33.7459,33.8598,33.9258,33.6655
01/02/2024,33.8046,34.1275,34.1703,33.8015
01/01/2024,34.0707,34.1260,34.1368,34.1012
12/29/2023,34.1012,34.2061,34.2819,34.1211
12/28/2023,34.1723,34.2096,34.4442,34.1739
12/27/2023,34.1417,34.1229,34.4117,34.0124
12/26/2023,34.0646,34.0759,34.1610,33.9462
12/25/2023,34.0666,34.0425,34.1022,33.9047
12/22/2023,33.9659,34.0209,34.1167,33.9699
12/21/2023,33.9597,33.8077,34.0434,33.7091
12/20/2023,33.7437,33.9572,33.9727,33.7276
12/19/2023,33.9282,33.7552,33.9804,33.6475
12/18/2023,33.6944,33.7284,33.8314,33.6136
12/15/2023,33.6625,33.9990,34.0314,33.6727
12/14/2023,33.9622,33.6007,34.0469,33.5274
12/13/2023,33.5432,33.3774,33.6733,33.2209
12/12/2023,33.3473,33.2846,33.4755,33.1916
12/11/2023,33.2577,33.2546,33.3486,33.1655
12/08/2023,33.1977,33.3566,33.3766,33.1341
12/07/2023,33.2933,33.3300,33.4276,33.2330
12/06/2023,33.3083,33.2517,33.4414,33.2255
12/05/2023,33.1946,33.5103,33.5714,33.1947
12/04/2023,33.4832,33.6408,33.6952,33.3828
12/01/2023,33.5710,33.6439,33.7227,33.4601
11/30/2023,33.5802,33.9552,33.9985,33.6146
11/29/2023,33.9459,33.9928,34.0790,33.8649
11/28/2023,33.9591,33.8479,34.0469,33.7276
11/27/2023,33.7900,33.7953,33.9165,33.7414
11/24/2023,33.7468,33.6965,33.8324,33.6640
11/23/2023,33.6388,33.6439,33.8206,33.6167
11/22/2023,33.5864,33.7150,33.7912,33.5311
11/21/2023,33.6543,33.8429,33.9304,33.6795
11/20/2023,33.8203,33.7212,33.8816,33.6717
11/17/2023,33.7026,33.5598,33.7608,33.4748
11/16/2023,33.5265,33.5444,33.6974,33.3826
11/15/2023,33.5141,33.6161,33.6751,33.4678
11/14/2023,33.5617,33.0599,33.6455,32.9437
11/13/2023,32.9972,33.0136,33.1288,32.9237
11/10/2023,32.9509,32.9626,33.0429,32.9255
11/09/2023,32.9046,33.0846,33.1722,32.9144
11/08/2023,33.0311,32.9529,33.1242,32.9114
11/07/2023,32.8994,33.1155,33.1660,32.8698
11/06/2023,33.0620,33.1526,33.2774,33.0684
11/03/2023,33.0990,32.8251,33.2098,32.7988
11/02/2023,32.7627,32.6582,33.0004,32.6311
11/01/2023,32.6023,32.7001,32.7435,32.4960
10/31/2023,32.6798,32.8035,33.0251,32.6268
10/30/2023,32.7411,32.6489,32.8344,32.5325
10/27/2023,32.5899,32.6242,32.7478,32.5532
10/26/2023,32.5776,32.6613,32.6971,32.4786
10/25/2023,32.5869,32.7527,32.8255,32.6443
10/24/2023,32.7169,32.9672,33.0855,32.7184
10/23/2023,32.9108,32.7355,32.9966,32.5756
10/20/2023,32.6794,32.6953,32.7679,32.6428
10/19/2023,32.6424,32.5795,32.8081,32.4432
10/18/2023,32.5532,32.6768,32.7775,32.5284
10/17/2023,32.6239,32.6584,32.7636,32.4894
10/16/2023,32.6242,32.4666,32.6676,32.4170
10/13/2023,32.4203,32.5300,32.6289,32.4296
10/12/2023,32.4727,32.8485,32.9261,32.5238
10/11/2023,32.8065,32.7695,32.8843,32.6619
10/10/2023,32.7103,32.6520,32.8580,32.5279
10/09/2023,32.5930,32.6397,32.6996,32.4247
10/06/2023,32.5519,32.4940,32.6496,32.2861
10/05/2023,32.4351,32.3677,32.5017,32.3385
10/04/2023,32.2967,32.3785,32.5671,32.1968
10/03/2023,32.3368,32.4017,32.4465,32.2276
10/02/2023,32.3708,32.6551,32.7679,32.3986
09/29/2023,32.6085,32.6489,32.8081,32.6227
09/28/2023,32.5745,32.4527,32.6907,32.4157
09/27/2023,32.3925,32.6846,32.7076,32.4064
09/26/2023,32.6613,32.7589,32.8286,32.6126
09/25/2023,32.7231,32.9613,32.9710,32.6737
09/22/2023,32.8614,32.9394,32.9780,32.7973
09/21/2023,32.8799,32.9394,32.9937,32.7481
09/20/2023,32.8830,33.0074,33.1804,32.8960
09/19/2023,32.9385,33.0228,33.1691,32.8852
09/18/2023,32.9786,32.9967,33.0747,32.8313
09/15/2023,32.9771,32.9277,33.0824,32.9075
09/14/2023,32.9338,33.1526,33.2789,32.8884
09/13/2023,33.0959,33.2299,33.2929,33.0985
09/12/2023,33.1730,33.2475,33.3031,33.0731
09/11/2023,33.2113,33.1591,33.2753,33.0222
09/08/2023,33.0064,33.0522,33.2005,33.0429
09/07/2023,33.0064,33.1433,33.2062,33.0115
09/06/2023,33.0928,33.1578,33.2696,33.0653
09/05/2023,33.1464,33.3596,33.4074,33.0831
09/04/2023,33.2902,33.3563,33.4553,33.2193
09/01/2023,33.2347,33.4956,33.6269,33.2824
08/31/2023,33.4445,33.7613,33.8283,33.4786
08/30/2023,33.7005,33.6720,33.8247,33.4473
08/29/2023,33.6673,33.4153,33.7122,33.3148
08/28/2023,33.3704,33.2671,33.4925,33.2424
08/25/2023,33.3180,33.4029,33.5033,33.2654
08/24/2023,33.3458,33.5667,33.6612,33.3859
08/23/2023,33.5000,33.5203,33.6503,33.3766
08/22/2023,33.4537,33.6594,33.8082,33.4724
08/21/2023,33.5987,33.6402,33.7772,33.5120
08/18/2023,33.5247,33.5945,33.6640,33.5095
08/17/2023,33.5370,33.6068,33.7432,33.4565
08/16/2023,33.5617,33.7026,33.8345,33.5914
08/15/2023,33.6388,33.6996,33.8685,33.5982
08/14/2023,33.6388,33.8995,33.9134,33.6146
08/11/2023,33.7622,33.9313,34.0070,33.8123
08/10/2023,33.8702,33.9128,34.1924,33.8138
08/09/2023,33.8517,33.8540,34.0186,33.8046
08/08/2023,33.7931,33.9977,34.0774,33.7691
08/07/2023,33.9473,33.9139,34.0573,33.7753
08/04/2023,34.0758,33.8778,34.1765,33.8422
08/03/2023,33.8716,33.7969,33.9320,33.6305
08/02/2023,33.7376,33.9375,34.0743,33.7351
08/01/2023,33.8795,33.9746,34.0496,33.8401
07/31/2023,33.9227,34.0611,34.1811,33.8969
07/28/2023,33.9813,33.9220,34.1383,33.8139
07/27/2023,33.8517,34.2403,34.5107,33.8834
07/26/2023,34.1911,34.1538,34.3436,34.0294
07/25/2023,34.0985,34.1909,34.3158,34.0534
07/24/2023,34.1263,34.3824,34.4875,34.1095
07/21/2023,34.1971,34.2897,34.3282,34.2111
07/20/2023,34.2186,34.4960,34.5869,34.2435
07/19/2023,34.4338,34.6914,34.7816,34.4560
07/18/2023,34.6322,34.7192,34.9007,34.6343
07/17/2023,34.6661,34.7162,34.8172,34.5746
07/14/2023,34.6353,34.6899,34.7486,34.6188
