,Date,EUR/USD,year,month,day
0,1997-04-18,1.141,1997,4,18
1,1997-04-17,1.1337,1997,4,17
2,1997-04-16,1.13,1997,4,16
3,1997-04-15,1.1313,1997,4,15
4,1997-04-14,1.131,1997,4,14
5,1997-04-11,1.1346,1997,4,11
6,1997-04-10,1.1362,1997,4,10
7,1997-04-09,1.1327,1997,4,9
8,1997-04-08,1.14,1997,4,8
9,1997-04-07,1.1423,1997,4,7
10,1997-04-04,1.1558,1997,4,4
11,1997-04-03,1.1655,1997,4,3
12,1997-04-02,1.1617,1997,4,2
13,1997-04-01,1.1672,1997,4,1
14,1997-03-31,1.1661,1997,3,31
15,1997-03-28,1.1578,1997,3,28
16,1997-03-27,1.162,1997,3,27
17,1997-03-26,1.1514,1997,3,26
18,1997-03-25,1.1498,1997,3,25
19,1997-03-24,1.1508,1997,3,24
20,1997-03-21,1.1511,1997,3,21
21,1997-03-20,1.1448,1997,3,20
22,1997-03-19,1.1521,1997,3,19
23,1997-03-18,1.155,1997,3,18
24,1997-03-17,1.145,1997,3,17
25,1997-03-14,1.1454,1997,3,14
26,1997-03-13,1.1398,1997,3,13
27,1997-03-12,1.1432,1997,3,12
28,1997-03-11,1.1411,1997,3,11
29,1997-03-10,1.1423,1997,3,10
30,1997-03-07,1.1344,1997,3,7
31,1997-03-06,1.1343,1997,3,6
32,1997-03-05,1.1356,1997,3,5
33,1997-03-04,1.1352,1997,3,4
34,1997-03-03,1.1436,1997,3,3
35,1997-02-28,1.1468,1997,2,28
36,1997-02-27,1.1496,1997,2,27
37,1997-02-26,1.1501,1997,2,26
38,1997-02-25,1.161,1997,2,25
39,1997-02-24,1.1599,1997,2,24
40,1997-02-21,1.1488,1997,2,21
41,1997-02-20,1.1513,1997,2,20
42,1997-02-19,1.1422,1997,2,19
43,1997-02-18,1.1502,1997,2,18
44,1997-02-17,1.145,1997,2,17
45,1997-02-14,1.1508,1997,2,14
46,1997-02-13,1.1544,1997,2,13
47,1997-02-12,1.155,1997,2,12
48,1997-02-11,1.1609,1997,2,11
49,1997-02-10,1.1721,1997,2,10
50,1997-02-07,1.171,1997,2,7
51,1997-02-06,1.1746,1997,2,6
52,1997-02-05,1.1798,1997,2,5
53,1997-02-04,1.1761,1997,2,4
54,1997-02-03,1.1784,1997,2,3
55,1997-01-31,1.1796,1997,1,31
56,1997-01-30,1.1826,1997,1,30
57,1997-01-29,1.1786,1997,1,29
58,1997-01-28,1.1772,1997,1,28
59,1997-01-27,1.1825,1997,1,27
60,1997-01-24,1.1887,1997,1,24
61,1997-01-23,1.1838,1997,1,23
62,1997-01-22,1.1865,1997,1,22
63,1997-01-21,1.1952,1997,1,21
64,1997-01-20,1.1984,1997,1,20
65,1997-01-17,1.2045,1997,1,17
66,1997-01-16,1.2202,1997,1,16
67,1997-01-15,1.2241,1997,1,15
68,1997-01-14,1.2202,1997,1,14
69,1997-01-13,1.2239,1997,1,13
70,1997-01-10,1.225,1997,1,10
71,1997-01-09,1.2331,1997,1,9
72,1997-01-08,1.233,1997,1,8
73,1997-01-07,1.2403,1997,1,7
74,1997-01-06,1.2406,1997,1,6
75,1997-01-03,1.2359,1997,1,3
76,1997-01-02,1.2528,1997,1,2
77,1996-12-31,1.2538,1996,12,31
78,1996-12-30,1.2417,1996,12,30
