,year,month,day,XAU_Price
0,2024,2,24,"101,139.67"
1,2024,2,23,"63,050.27"
2,2024,2,22,"62,926.11"
3,2024,2,21,"63,734.03"
4,2024,2,20,"62,819.97"
5,2024,2,19,"61,283.67"
6,2024,2,17,"57,020.47"
7,2024,2,16,"59,838.05"
8,2024,2,15,"60,607.60"
9,2024,2,14,"59,219.35"
10,2024,2,13,"60,512.46"
11,2024,2,12,"61,372.99"
12,2024,2,9,"60,537.22"
13,2024,2,8,"55,862.77"
14,2024,2,7,"58,066.23"
15,2024,2,6,"45,135.66"
16,2024,2,5,"43,312.57"
17,2024,2,2,"39,437.65"
18,2024,2,1,"32,349.31"
19,2024,1,31,"32,846.99"
20,2024,1,30,"33,316.61"
21,2024,1,29,"33,888.67"
22,2024,1,26,"34,129.42"
23,2024,1,25,"34,989.25"
24,2024,1,24,"35,294.92"
25,2024,1,23,"29,883.82"
26,2024,1,22,"28,137.40"
27,2024,1,19,"28,632.59"
28,2024,1,18,"27,917.45"
29,2024,1,17,"27,918.78"
30,2024,1,16,"27,556.19"
31,2024,1,15,"28,367.50"
32,2024,1,12,"28,418.96"
33,2024,1,11,"27,713.35"
34,2024,1,10,"29,877.84"
35,2024,1,9,"27,607.69"
36,2024,1,8,"26,761.30"
37,2024,1,5,"27,129.12"
38,2024,1,4,"28,909.77"
39,2024,1,3,"29,781.03"
40,2024,1,2,"27,732.57"
41,2024,1,1,"29,398.37"
42,2023,12,29,"29,659.90"
43,2023,12,28,"31,123.94"
44,2023,12,27,"31,442.04"
45,2023,12,26,"28,677.25"
46,2023,12,25,"27,309.02"
47,2023,12,22,"26,467.81"
48,2023,12,21,"24,654.48"
49,2023,12,20,"24,714.02"
50,2023,12,19,"25,039.58"
51,2023,12,18,"24,272.16"
52,2023,12,15,"23,561.51"
53,2023,12,14,"24,340.31"
54,2023,12,13,"23,892.99"
55,2023,12,12,"25,082.75"
56,2023,12,11,"23,324.57"
57,2023,12,8,"23,464.01"
58,2023,12,7,"21,826.29"
59,2023,12,6,"21,970.95"
60,2023,12,5,"22,324.03"
61,2023,12,4,"22,927.95"
62,2023,12,1,"23,295.40"
63,2023,11,30,"22,899.56"
64,2023,11,29,"21,822.78"
65,2023,11,28,"21,681.68"
66,2023,11,27,"21,200.16"
67,2023,11,24,"21,348.62"
68,2023,11,23,"21,801.17"
69,2023,11,22,"22,340.14"
70,2023,11,21,"23,173.35"
71,2023,11,20,"23,182.57"
72,2023,11,17,"23,275.92"
73,2023,11,16,"23,205.40"
74,2023,11,15,"23,705.30"
75,2023,11,14,"23,092.44"
76,2023,11,13,"22,493.51"
77,2023,11,10,"22,373.12"
78,2023,11,9,"22,549.83"
79,2023,11,8,"23,246.94"
80,2023,11,7,"22,692.58"
81,2023,11,6,"22,428.48"
82,2023,11,3,"22,889.02"
83,2023,11,2,"22,817.70"
84,2023,11,1,"22,476.96"
85,2023,10,31,"19,705.45"
86,2023,10,30,"22,626.07"
87,2023,10,27,"20,883.00"
88,2023,10,26,"20,962.38"
89,2023,10,25,"11,342.12"
90,2023,10,24,"11,684.17"
