,Unnamed: 0,year,month,day,XAU_Price
0,173,2009,1,10,"5,718.74"
1,172,2009,1,11,"6,450.81"
2,171,2009,1,12,"6,012.39"
3,170,2010,1,1,"5,910.95"
4,169,2010,1,2,"6,128.49"
5,168,2010,1,3,"6,132.59"
6,167,2010,1,4,"6,555.45"
7,166,2010,1,5,"6,884.35"
8,165,2010,1,6,"7,076.43"
9,164,2010,1,7,"6,732.31"
10,163,2010,1,8,"7,118.60"
11,162,2010,1,9,"7,454.98"
12,161,2010,1,10,"7,851.06"
13,160,2010,1,11,"8,018.89"
14,159,2010,1,12,"8,251.52"
15,158,2011,1,1,"7,799.73"
16,157,2011,1,2,"8,315.11"
17,156,2011,1,3,"8,563.68"
18,155,2011,1,4,"9,295.60"
19,154,2011,1,5,"9,106.57"
20,153,2011,1,6,"8,948.11"
21,152,2011,1,7,"9,685.29"
22,151,2011,1,8,"10,851.37"
23,150,2011,1,9,"9,681.06"
24,149,2011,1,10,"10,221.25"
25,148,2011,1,11,"10,478.98"
26,147,2011,1,12,"9,425.38"
27,146,2012,1,1,"10,479.46"
28,145,2012,1,2,"10,220.42"
29,144,2012,1,3,"10,073.14"
30,143,2012,1,4,"10,057.67"
31,142,2012,1,5,"9,421.09"
32,141,2012,1,6,"9,676.22"
33,140,2012,1,7,"9,797.93"
34,139,2012,1,8,"10,311.82"
35,138,2012,1,9,"10,791.25"
36,137,2012,1,10,"10,508.83"
37,136,2012,1,11,"10,475.60"
38,135,2012,1,12,"10,624.50"
39,134,2013,1,1,"11,167.85"
40,133,2013,1,2,"10,646.98"
41,132,2013,1,3,"10,867.72"
42,131,2013,1,4,"10,241.17"
43,130,2013,1,5,"9,689.46"
44,129,2013,1,6,"8,665.68"
45,128,2013,1,7,"9,252.83"
46,127,2013,1,8,"9,749.73"
47,126,2013,1,9,"9,151.50"
48,125,2013,1,10,"9,108.39"
49,124,2013,1,11,"8,613.69"
50,123,2013,1,12,"8,373.29"
51,122,2014,1,1,"8,652.50"
52,121,2014,1,2,"9,225.23"
53,120,2014,1,3,"8,941.89"
54,119,2014,1,4,"9,047.38"
55,118,2014,1,5,"8,932.87"
56,117,2014,1,6,"9,488.05"
57,116,2014,1,7,"9,168.45"
58,115,2014,1,8,"9,201.19"
59,114,2014,1,9,"8,636.13"
60,113,2014,1,10,"8,386.24"
61,112,2014,1,11,"8,344.34"
62,111,2014,1,12,"8,463.46"
63,110,2015,1,1,"9,741.61"
64,109,2015,1,2,"9,253.66"
65,108,2015,1,3,"9,021.90"
66,107,2015,1,4,"9,033.54"
67,106,2015,1,5,"9,077.41"
68,105,2015,1,6,"8,937.71"
69,104,2015,1,7,"8,576.98"
70,103,2015,1,8,"8,884.31"
71,102,2015,1,9,"8,727.00"
72,101,2015,1,10,"9,170.26"
73,100,2015,1,11,"8,333.94"
74,99,2015,1,12,"8,302.15"
75,98,2016,1,1,"8,751.12"
76,97,2016,1,2,"9,695.89"
77,96,2016,1,3,"10,939.59"
78,95,2016,1,4,"11,484.91"
79,94,2016,1,5,"10,786.33"
80,93,2016,1,6,"11,737.27"
81,92,2016,1,7,"11,991.06"
82,91,2016,1,8,"11,618.73"
83,90,2016,1,9,"11,684.17"
84,89,2016,1,10,"11,342.12"
85,88,2016,1,11,"20,962.38"
86,87,2016,1,12,"20,883.00"
87,86,2017,1,1,"22,626.07"
88,85,2017,1,2,"19,705.45"
89,84,2017,1,3,"22,476.96"
90,83,2017,1,4,"22,817.70"
91,82,2017,1,5,"22,889.02"
92,81,2017,1,6,"22,428.48"
93,80,2017,1,7,"22,692.58"
94,79,2017,1,8,"23,246.94"
95,78,2017,1,9,"22,549.83"
96,77,2017,1,10,"22,373.12"
97,76,2017,1,11,"22,493.51"
98,75,2017,1,12,"23,092.44"
99,74,2018,1,1,"23,705.30"
100,73,2018,1,2,"23,205.40"
101,72,2018,1,3,"23,275.92"
102,71,2018,1,4,"23,182.57"
103,70,2018,1,5,"23,173.35"
104,69,2018,1,6,"22,340.14"
105,68,2018,1,7,"21,801.17"
106,67,2018,1,8,"21,348.62"
107,66,2018,1,9,"21,200.16"
108,65,2018,1,10,"21,681.68"
109,64,2018,1,11,"21,822.78"
110,63,2018,1,12,"22,899.56"
111,62,2019,1,1,"23,295.40"
112,61,2019,1,2,"22,927.95"
113,60,2019,1,3,"22,324.03"
114,59,2019,1,4,"21,970.95"
115,58,2019,1,5,"21,826.29"
116,57,2019,1,6,"23,464.01"
117,56,2019,1,7,"23,324.57"
118,55,2019,1,8,"25,082.75"
119,54,2019,1,9,"23,892.99"
120,53,2019,1,10,"24,340.31"
121,52,2019,1,11,"23,561.51"
122,51,2019,1,12,"24,272.16"
123,50,2020,1,1,"25,039.58"
124,49,2020,1,2,"24,714.02"
125,48,2020,1,3,"24,654.48"
126,47,2020,1,4,"26,467.81"
127,46,2020,1,5,"27,309.02"
128,45,2020,1,6,"28,677.25"
129,44,2020,1,7,"31,442.04"
130,43,2020,1,8,"31,123.94"
131,42,2020,1,9,"29,659.90"
132,41,2020,1,10,"29,398.37"
133,40,2020,1,11,"27,732.57"
134,39,2020,1,12,"29,781.03"
135,38,2021,1,1,"28,909.77"
136,37,2021,1,2,"27,129.12"
137,36,2021,1,3,"26,761.30"
138,35,2021,1,4,"27,607.69"
139,34,2021,1,5,"29,877.84"
140,33,2021,1,6,"27,713.35"
141,32,2021,1,7,"28,418.96"
142,31,2021,1,8,"28,367.50"
143,30,2021,1,9,"27,556.19"
144,29,2021,1,10,"27,918.78"
145,28,2021,1,11,"27,917.45"
146,27,2021,1,12,"28,632.59"
147,26,2022,1,1,"28,137.40"
148,25,2022,1,2,"29,883.82"
149,24,2022,1,3,"35,294.92"
150,23,2022,1,4,"34,989.25"
151,22,2022,1,5,"34,129.42"
152,21,2022,1,6,"33,888.67"
153,20,2022,1,7,"33,316.61"
154,19,2022,1,8,"32,846.99"
155,18,2022,1,9,"32,349.31"
156,17,2022,1,10,"39,437.65"
