year,month,day,EUR/USD
1997,4,18,1.141
1997,4,17,1.1337
1997,4,16,1.13
1997,4,15,1.1313
1997,4,14,1.131
1997,4,11,1.1346
1997,4,10,1.1362
1997,4,9,1.1327
1997,4,8,1.14
1997,4,7,1.1423
1997,4,4,1.1558
1997,4,3,1.1655
1997,4,2,1.1617
1997,4,1,1.1672
1997,3,31,1.1661
1997,3,28,1.1578
1997,3,27,1.162
1997,3,26,1.1514
1997,3,25,1.1498
1997,3,24,1.1508
1997,3,21,1.1511
1997,3,20,1.1448
1997,3,19,1.1521
1997,3,18,1.155
1997,3,17,1.145
1997,3,14,1.1454
1997,3,13,1.1398
1997,3,12,1.1432
1997,3,11,1.1411
1997,3,10,1.1423
1997,3,7,1.1344
1997,3,6,1.1343
1997,3,5,1.1356
1997,3,4,1.1352
1997,3,3,1.1436
1997,2,28,1.1468
1997,2,27,1.1496
1997,2,26,1.1501
1997,2,25,1.161
1997,2,24,1.1599
1997,2,21,1.1488
1997,2,20,1.1513
1997,2,19,1.1422
1997,2,18,1.1502
1997,2,17,1.145
1997,2,14,1.1508
1997,2,13,1.1544
1997,2,12,1.155
1997,2,11,1.1609
1997,2,10,1.1721
1997,2,7,1.171
1997,2,6,1.1746
1997,2,5,1.1798
1997,2,4,1.1761
1997,2,3,1.1784
1997,1,31,1.1796
1997,1,30,1.1826
1997,1,29,1.1786
1997,1,28,1.1772
1997,1,27,1.1825
1997,1,24,1.1887
1997,1,23,1.1838
1997,1,22,1.1865
1997,1,21,1.1952
1997,1,20,1.1984
1997,1,17,1.2045
1997,1,16,1.2202
1997,1,15,1.2241
1997,1,14,1.2202
1997,1,13,1.2239
1997,1,10,1.225
1997,1,9,1.2331
1997,1,8,1.233
1997,1,7,1.2403
1997,1,6,1.2406
1997,1,3,1.2359
1997,1,2,1.2528
1996,12,31,1.2538
1996,12,30,1.2417
1996,12,27,1.2415
1996,12,26,1.2402
1996,12,25,1.2388
1996,12,24,1.239
1996,12,23,1.2394
1996,12,20,1.2407
1996,12,19,1.2348
1996,12,18,1.2405
1996,12,17,1.2418
1996,12,16,1.2472
1996,12,13,1.2428
1996,12,12,1.2502
1996,12,11,1.2519
1996,12,10,1.2406
1996,12,9,1.2401
1996,12,6,1.2474
1996,12,5,1.2431
1996,12,4,1.2391
1996,12,3,1.2414
1996,12,2,1.25
1996,11,29,1.254
1996,11,28,1.2589
1996,11,27,1.2624
1996,11,26,1.2637
1996,11,25,1.2656
1996,11,22,1.2753
1996,11,21,1.2829
1996,11,20,1.2843
1996,11,19,1.2763
1996,11,18,1.2787
1996,11,15,1.2726
1996,11,14,1.2703
1996,11,13,1.2725
1996,11,12,1.2696
1996,11,11,1.2781
1996,11,8,1.2714
1996,11,7,1.2663
1996,11,6,1.2627
1996,11,5,1.2625
1996,11,4,1.269
1996,11,1,1.2662
1996,10,31,1.2642
1996,10,30,1.2693
1996,10,29,1.2673
1996,10,28,1.261
1996,10,25,1.2604
1996,10,24,1.2624
1996,10,23,1.2587
1996,10,22,1.254
1996,10,21,1.2515
1996,10,18,1.2477
1996,10,17,1.2439
1996,10,16,1.2473
1996,10,15,1.2465
1996,10,14,1.2529
1996,10,11,1.2519
1996,10,10,1.2517
1996,10,9,1.252
1996,10,8,1.251
1996,10,7,1.2497
1996,10,4,1.2469
1996,10,3,1.2475
1996,10,2,1.2457
1996,10,1,1.248
1996,9,30,1.2504
1996,9,27,1.2502
1996,9,26,1.2536
1996,9,25,1.26
1996,9,24,1.2663
1996,9,23,1.2578
1996,9,20,1.254
1996,9,19,1.2523
1996,9,18,1.255
1996,9,17,1.252
1996,9,16,1.2542
1996,9,13,1.2502
1996,9,12,1.2514
1996,9,11,1.2526
1996,9,10,1.2526
1996,9,9,1.2618
1996,9,6,1.2654
1996,9,5,1.2694
1996,9,4,1.2737
1996,9,3,1.27
1996,9,2,1.2681
1996,8,30,1.273
1996,8,29,1.2736
1996,8,28,1.2738
1996,8,27,1.2728
1996,8,26,1.2716
1996,8,23,1.2714
1996,8,22,1.2623
1996,8,21,1.2689
