year,month,day,EGP,EUR
1993,6,30,1,3.8613
1993,7,1,1,3.843
1993,7,2,1,3.8733
1993,7,5,1,3.8662
1993,7,6,1,3.8642
1993,7,7,1,3.8468
1993,7,8,1,3.8436
1993,7,9,1,3.8475
1993,7,12,1,3.7939
1993,7,13,1,3.7751
1993,7,14,1,3.8016
1993,7,15,1,3.8029
1993,7,16,1,3.7858
1993,7,19,1,3.8046
1993,7,20,1,3.8193
1993,7,21,1,3.8256
1993,7,22,1,3.8294
1993,7,23,1,3.8138
1993,7,26,1,3.7838
1993,7,27,1,3.776
1993,7,28,1,3.7682
1993,7,29,1,3.7873
1993,7,30,1,3.7365
1993,8,2,1,3.6704
1993,8,3,1,3.7262
1993,8,4,1,3.7424
1993,8,5,1,3.7634
1993,8,6,1,3.7586
1993,8,9,1,3.7761
1993,8,10,1,3.7526
1993,8,11,1,3.7207
1993,8,12,1,3.7279
1993,8,13,1,3.7264
1993,8,16,1,3.7308
1993,8,17,1,3.7837
1993,8,18,1,3.7737
1993,8,19,1,3.8004
1993,8,20,1,3.7947
1993,8,23,1,3.8232
1993,8,24,1,3.8014
1993,8,25,1,3.8141
1993,8,26,1,3.7937
1993,8,27,1,3.8219
1993,8,30,1,3.828
1993,8,31,1,3.8213
1993,9,1,1,3.8379
1993,9,2,1,3.8353
1993,9,3,1,3.8564
1993,9,6,1,3.906
1993,9,7,1,3.9224
1993,9,8,1,3.9275
1993,9,9,1,3.9181
1993,9,10,1,3.9509
1993,9,13,1,3.9727
1993,9,14,1,3.9677
1993,9,15,1,3.9647
1993,9,16,1,3.9905
1993,9,17,1,3.9744
1993,9,20,1,3.9415
1993,9,21,1,3.9593
1993,9,22,1,3.9432
1993,9,23,1,3.9134
1993,9,24,1,3.8827
1993,9,27,1,3.9163
1993,9,28,1,3.9203
1993,9,29,1,3.9455
1993,9,30,1,3.9459
1993,10,1,1,3.8923
1993,10,4,1,3.9022
1993,10,5,1,3.9203
1993,10,6,1,3.9113
1993,10,7,1,3.9207
1993,10,8,1,3.9069
1993,10,11,1,3.9529
1993,10,12,1,3.9522
1993,10,13,1,3.9743
1993,10,14,1,3.9522
1993,10,15,1,3.9265
1993,10,18,1,3.9171
1993,10,19,1,3.8702
1993,10,20,1,3.8786
1993,10,21,1,3.8885
1993,10,22,1,3.8242
1993,10,25,1,3.8296
1993,10,26,1,3.8091
1993,10,27,1,3.8222
1993,10,28,1,3.8237
1993,10,29,1,3.8398
1993,11,1,1,3.8027
1993,11,2,1,3.7901
1993,11,3,1,3.7834
1993,11,4,1,3.8112
1993,11,5,1,3.7991
1993,11,8,1,3.8081
1993,11,9,1,3.8141
1993,11,10,1,3.8008
1993,11,11,1,3.8102
1993,11,12,1,3.7961
1993,11,15,1,3.8173
1993,11,16,1,3.8015
1993,11,17,1,3.78
1993,11,18,1,3.7887
1993,11,19,1,3.7736
1993,11,22,1,3.7635
1993,11,23,1,3.7841
1993,11,24,1,3.7811
1993,11,25,1,3.7929
1993,11,26,1,3.7834
1993,11,29,1,3.7707
1993,11,30,1,3.7852
1993,12,1,1,3.7633
1993,12,2,1,3.756
1993,12,3,1,3.7563
1993,12,6,1,3.7565
