year,month,day,EGP,USD
1990,5,31,1,2.6892
1990,6,1,1,2.6892
1990,6,4,1,2.6967
1990,6,5,1,2.6967
1990,6,6,1,2.6967
1990,6,7,1,2.6892
1990,6,8,1,2.6892
1990,6,11,1,2.6967
1990,6,12,1,2.6992
1990,6,13,1,2.7092
1990,6,14,1,2.7092
1990,6,15,1,2.7092
1990,6,18,1,2.7167
1990,6,19,1,2.7067
1990,6,20,1,2.7067
1990,6,21,1,2.7067
1990,6,22,1,2.7192
1990,6,25,1,2.7092
1990,6,26,1,2.7092
1990,6,27,1,2.7092
1990,6,28,1,2.7192
1990,6,29,1,2.7192
1990,7,2,1,2.7192
1990,7,3,1,2.7192
1990,7,4,1,2.7167
1990,7,5,1,2.7167
1990,7,6,1,2.7167
1990,7,9,1,2.7067
1990,7,10,1,2.7067
1990,7,11,1,2.7067
1990,7,12,1,2.7167
1990,7,13,1,2.7167
1990,7,16,1,2.7067
1990,7,17,1,2.7167
1990,7,18,1,2.7167
1990,7,19,1,2.7067
1990,7,20,1,2.7067
1990,7,23,1,2.7067
1990,7,24,1,2.7092
1990,7,25,1,2.7092
1990,7,26,1,2.7067
1990,7,27,1,2.7067
1990,7,30,1,2.7167
1990,7,31,1,2.7167
1990,8,1,1,2.7067
1990,8,2,1,2.7267
1990,8,3,1,2.7167
1990,8,6,1,2.7067
1990,8,7,1,2.7167
1990,8,8,1,2.7267
1990,8,9,1,2.7267
1990,8,10,1,2.7267
1990,8,13,1,2.7167
1990,8,14,1,2.7167
1990,8,15,1,2.7067
1990,8,16,1,2.7067
1990,8,20,1,2.7067
1990,8,21,1,2.7067
1990,8,22,1,2.6967
1990,8,23,1,2.6967
1990,8,24,1,2.6967
1990,8,27,1,2.7067
1990,8,28,1,2.7167
1990,8,29,1,2.7167
1990,8,30,1,2.7267
1990,8,31,1,2.7267
1990,9,3,1,2.7267
1990,9,4,1,2.7367
1990,9,5,1,2.7367
1990,9,6,1,2.7367
1990,9,7,1,2.7367
1990,9,10,1,2.7392
1990,9,11,1,2.7492
1990,9,12,1,2.7467
1990,9,13,1,2.7567
1990,9,14,1,2.7567
1990,9,17,1,2.7567
1990,9,18,1,2.7467
1990,9,19,1,2.7467
1990,9,20,1,2.7567
1990,9,21,1,2.7567
1990,9,24,1,2.7392
1990,9,25,1,2.7367
1990,9,26,1,2.7467
1990,9,27,1,2.7467
1990,9,28,1,2.7467
1990,10,1,1,2.7567
1990,10,2,1,2.7567
1990,10,3,1,2.7567
1990,10,4,1,2.7467
1990,10,5,1,2.7467
1990,10,8,1,2.7467
1990,10,9,1,2.7567
1990,10,10,1,2.7567
1990,10,11,1,2.7692
1990,10,12,1,2.7692
1990,10,15,1,2.7692
1990,10,16,1,2.7767
1990,10,17,1,2.7567
1990,10,18,1,2.7667
1990,10,19,1,2.7667
1990,10,22,1,2.7892
1990,10,23,1,2.7967
1990,10,24,1,2.7967
1990,10,25,1,2.7967
1990,10,26,1,2.7967
1990,10,29,1,2.7967
1990,10,30,1,2.7967
1990,10,31,1,2.7967
1990,11,1,1,2.7967
1991,10,25,1,3.3399
1991,10,28,1,3.3399
1991,10,29,1,3.3399
1991,10,30,1,3.317
1991,10,31,1,3.3265
1991,11,1,1,3.3265
1991,11,4,1,3.3265
1991,11,5,1,3.323
1991,11,6,1,3.323
1991,11,7,1,3.329
1991,11,8,1,3.3287
1991,11,11,1,3.3287
1991,11,12,1,3.3325
1991,11,13,1,3.3287
1991,11,14,1,3.33
1991,11,15,1,3.33
1991,11,18,1,3.3287
1991,11,19,1,3.3286
1991,11,20,1,3.3338
1991,11,21,1,3.3287
1991,11,22,1,3.3287
1991,11,25,1,3.3295
1991,11,26,1,3.3295
1991,11,27,1,3.3321
1991,11,28,1,3.3325
1991,11,29,1,3.3325
1991,12,2,1,3.3363
1991,12,3,1,3.3358
1991,12,4,1,3.337
1991,12,5,1,3.3327
1991,12,6,1,3.3327
1991,12,9,1,3.3363
1991,12,10,1,3.3363
1991,12,11,1,3.3392
1991,12,12,1,3.338
1991,12,13,1,3.338
1991,12,16,1,3.3397
1991,12,17,1,3.3392
1991,12,18,1,3.3392
1991,12,19,1,3.3392
1991,12,20,1,3.3392
1991,12,23,1,3.3301
1991,12,24,1,3.3438
1991,12,25,1,3.3475
1991,12,26,1,3.3425
1991,12,27,1,3.3425
1991,12,30,1,3.3413
1991,12,31,1,3.3363
1992,1,1,1,3.3368
1992,1,2,1,3.342
1992,1,3,1,3.3357
1992,1,6,1,3.3317
1992,1,7,1,3.3317
1992,1,8,1,3.3338
1992,1,9,1,3.32
1992,1,10,1,3.32
1992,1,13,1,3.3338
1992,1,14,1,3.342
1992,1,15,1,3.3312
1992,1,16,1,3.3286
1992,1,17,1,3.3286
1992,1,20,1,3.3375
1992,1,21,1,3.3312
1992,1,22,1,3.3287
1992,1,23,1,3.3317
1992,1,24,1,3.3317
1992,1,27,1,3.3262
1992,1,28,1,3.3245
1992,1,29,1,3.3245
1992,1,30,1,3.323
1992,1,31,1,3.3281
1992,2,3,1,3.3262
1992,2,4,1,3.32
1992,2,5,1,3.3293
1992,2,6,1,3.321
1992,2,7,1,3.321
1992,2,10,1,3.3246
1992,2,11,1,3.3195
1992,2,12,1,3.3237
1992,2,13,1,3.32
1992,2,14,1,3.3195
1992,2,17,1,3.3195
1992,2,18,1,3.3225
1992,2,19,1,3.3205
1992,2,20,1,3.3268
1992,2,21,1,3.327
1992,2,24,1,3.3205
1992,2,25,1,3.3205
1992,2,26,1,3.3205
1992,2,27,1,3.3205
1992,2,28,1,3.3205
1992,3,2,1,3.3217
1992,3,3,1,3.3217
1992,3,4,1,3.3217
1992,3,5,1,3.3217
1992,3,6,1,3.3217
1992,3,9,1,3.3217
1992,3,10,1,3.3262
1992,3,11,1,3.3217
1992,3,12,1,3.3217
1992,3,13,1,3.3217
1992,3,16,1,3.3217
1992,3,17,1,3.325
1992,3,18,1,3.3235
1992,3,19,1,3.3282
1992,3,20,1,3.3282
1992,3,23,1,3.3235
1992,3,24,1,3.325
1992,3,25,1,3.3235
1992,3,26,1,3.3262
1992,3,27,1,3.3262
1992,3,30,1,3.325
1992,3,31,1,3.3286
1992,4,1,1,3.3285
1992,4,2,1,3.3215
1992,4,3,1,3.3215
1992,4,6,1,3.3255
1992,4,7,1,3.325
1992,4,8,1,3.3255
1992,4,9,1,3.323
1992,4,10,1,3.323
1992,4,13,1,3.325
1992,4,14,1,3.3325
1992,4,15,1,3.325
1992,4,16,1,3.325
1992,4,17,1,3.325
1992,4,20,1,3.3258
1992,4,21,1,3.325
1992,4,22,1,3.325
1992,4,23,1,3.3358
1992,4,24,1,3.3358
1992,4,27,1,3.323
1992,4,28,1,3.325
1992,4,29,1,3.325
1992,4,30,1,3.323
1992,5,1,1,3.323
1992,5,4,1,3.325
1992,5,5,1,3.3291
1992,5,6,1,3.325
1992,5,7,1,3.323
1992,5,8,1,3.323
1992,5,11,1,3.325
1992,5,12,1,3.323
1992,5,13,1,3.3262
1992,5,14,1,3.335
1992,5,15,1,3.335
1992,5,18,1,3.3283
1992,5,19,1,3.3287
1992,5,20,1,3.3262
1992,5,21,1,3.3263
1992,5,22,1,3.3262
1992,5,25,1,3.325
1992,5,26,1,3.3237
1992,5,27,1,3.3315
1992,5,28,1,3.3293
1992,5,29,1,3.325
1992,6,1,1,3.3309
1992,6,2,1,3.3262
1992,6,3,1,3.3273
1992,6,4,1,3.3313
1992,6,5,1,3.3262
