,year,RealInterestRate
0,1976,-3.16791456635492
1,1977,-3.11968024060413
2,1978,0.565092117483826
3,1979,-2.16791456635492
4,1980,-2.11968024060413
5,1981,1.56509211748383
6,1982,-1.16791456635492
7,1983,-2.16791456635492
8,1984,-2.11968024060413
9,1985,1.56509211748383
10,1986,1.88245857948588
11,1987,3.43556713232915
12,1988,3.15863419574568
13,1989,-0.674911055017413
14,1990,1.06753529927366
15,1991,3.20463879391189
16,1992,1.67092489114582
17,1993,9.10124138273943
18,1994,7.43541940172613
19,1995,4.55215763255254
20,1996,7.91322048878584
21,1997,3.56345275713916
22,1998,10.391898920672
23,1999,11.9358224011414
24,2000,8.91960097651462
25,2001,11.2145133742674
26,2002,10.3000319442348
27,2003,6.32702594810347
28,2004,1.52690342883876
29,2005,6.52364099171329
30,2006,4.88079671789458
31,2007,-0.0776285947232149
32,2008,0.107853154662391
33,2009,0.710036320068467
34,2010,0.818721618124323
35,2011,-0.563878053386473
36,2012,-6.26271950249128
37,2013,3.29215715258359
38,2014,0.414129139027758
39,2015,1.54106846018941
40,2016,6.92201135491608
41,2017,-8.75819408094445
42,2018,-2.35870301315836
43,2019,2.19909578279478
44,2020,4.88781543020781
45,2021,4.36620669870869
46,2022,0.142669652477037
