,year,month,day,XAU_Price
173,2009,1,10,"5,718.74"
172,2009,1,11,"6,450.81"
171,2009,1,12,"6,012.39"
170,2010,1,1,"5,910.95"
169,2010,1,2,"6,128.49"
168,2010,1,3,"6,132.59"
167,2010,1,4,"6,555.45"
166,2010,1,5,"6,884.35"
165,2010,1,6,"7,076.43"
164,2010,1,7,"6,732.31"
163,2010,1,8,"7,118.60"
162,2010,1,9,"7,454.98"
161,2010,1,10,"7,851.06"
160,2010,1,11,"8,018.89"
159,2010,1,12,"8,251.52"
158,2011,1,1,"7,799.73"
157,2011,1,2,"8,315.11"
156,2011,1,3,"8,563.68"
155,2011,1,4,"9,295.60"
154,2011,1,5,"9,106.57"
153,2011,1,6,"8,948.11"
152,2011,1,7,"9,685.29"
151,2011,1,8,"10,851.37"
150,2011,1,9,"9,681.06"
149,2011,1,10,"10,221.25"
148,2011,1,11,"10,478.98"
147,2011,1,12,"9,425.38"
146,2012,1,1,"10,479.46"
145,2012,1,2,"10,220.42"
144,2012,1,3,"10,073.14"
143,2012,1,4,"10,057.67"
142,2012,1,5,"9,421.09"
141,2012,1,6,"9,676.22"
140,2012,1,7,"9,797.93"
139,2012,1,8,"10,311.82"
138,2012,1,9,"10,791.25"
137,2012,1,10,"10,508.83"
136,2012,1,11,"10,475.60"
135,2012,1,12,"10,624.50"
134,2013,1,1,"11,167.85"
133,2013,1,2,"10,646.98"
132,2013,1,3,"10,867.72"
131,2013,1,4,"10,241.17"
130,2013,1,5,"9,689.46"
129,2013,1,6,"8,665.68"
128,2013,1,7,"9,252.83"
127,2013,1,8,"9,749.73"
126,2013,1,9,"9,151.50"
125,2013,1,10,"9,108.39"
124,2013,1,11,"8,613.69"
123,2013,1,12,"8,373.29"
122,2014,1,1,"8,652.50"
121,2014,1,2,"9,225.23"
120,2014,1,3,"8,941.89"
119,2014,1,4,"9,047.38"
118,2014,1,5,"8,932.87"
117,2014,1,6,"9,488.05"
116,2014,1,7,"9,168.45"
115,2014,1,8,"9,201.19"
114,2014,1,9,"8,636.13"
113,2014,1,10,"8,386.24"
112,2014,1,11,"8,344.34"
111,2014,1,12,"8,463.46"
110,2015,1,1,"9,741.61"
109,2015,1,2,"9,253.66"
108,2015,1,3,"9,021.90"
107,2015,1,4,"9,033.54"
106,2015,1,5,"9,077.41"
105,2015,1,6,"8,937.71"
104,2015,1,7,"8,576.98"
103,2015,1,8,"8,884.31"
102,2015,1,9,"8,727.00"
101,2015,1,10,"9,170.26"
100,2015,1,11,"8,333.94"
99,2015,1,12,"8,302.15"
98,2016,1,1,"8,751.12"
97,2016,1,2,"9,695.89"
96,2016,1,3,"10,939.59"
95,2016,1,4,"11,484.91"
94,2016,1,5,"10,786.33"
93,2016,1,6,"11,737.27"
92,2016,1,7,"11,991.06"
