,year,month,day,XAU_Price
1617,2018,2,5,23549.41
1616,2018,2,6,23661.17
1615,2018,2,7,23371.58
1614,2018,2,8,23296.9
1613,2018,2,9,23316.3
1612,2018,2,12,23250.25
1611,2018,2,13,23461.24
1610,2018,2,14,23540.42
1609,2018,2,15,23920.94
1608,2018,2,16,23878.71
1607,2018,2,19,23783.44
1606,2018,2,20,23761.4
1605,2018,2,21,23554.84
1604,2018,2,22,23449.33
1603,2018,2,23,23545.29
1602,2018,2,26,23379.08
1601,2018,2,27,23543.04
1600,2018,2,28,23276.27
1599,2018,3,1,23281.22
1598,2018,3,2,23233.29
1597,2018,3,5,23352.94
1596,2018,3,6,23265.31
1595,2018,3,7,23531.72
1594,2018,3,8,23361.01
1593,2018,3,9,23278.46
1592,2018,3,12,23310.26
1591,2018,3,13,23314.79
1590,2018,3,14,23391.37
1589,2018,3,15,23342.01
1588,2018,3,16,23220.49
1587,2018,3,19,23165.01
1586,2018,3,20,23218.44
1585,2018,3,21,23118.84
1584,2018,3,22,23466.48
1583,2018,3,23,23428.03
1582,2018,3,26,23743.66
1581,2018,3,27,23916.1
1580,2018,3,28,23738.19
1579,2018,3,29,23397.02
1578,2018,3,30,23359.8
1577,2018,4,2,23454.61
1576,2018,4,3,23662.87
1575,2018,4,4,23457.63
1574,2018,4,5,23574.19
1573,2018,4,6,23457.44
1572,2018,4,9,23576.82
1571,2018,4,10,23649.43
1570,2018,4,11,23682.61
1569,2018,4,12,23874.38
1568,2018,4,13,23519.03
1567,2018,4,16,23785.62
1566,2018,4,17,23818.19
1565,2018,4,18,23850.84
1564,2018,4,19,23896.45
1563,2018,4,20,23797.74
1562,2018,4,23,23629.99
1561,2018,4,24,23414.49
1560,2018,4,25,23549.55
1559,2018,4,26,23412.92
1558,2018,4,27,23318.23
1557,2018,4,30,23358.17
1556,2018,5,1,23226.2
1555,2018,5,2,23061.56
1554,2018,5,3,23036.8
1553,2018,5,4,23136.01
1552,2018,5,7,23236.49
1551,2018,5,8,23276.43
1550,2018,5,9,23259.44
1549,2018,5,10,23343.15
1548,2018,5,11,23391.74
1547,2018,5,14,23483.29
1546,2018,5,15,23409.96
1545,2018,5,16,23019.42
1544,2018,5,17,23085.38
1543,2018,5,18,22999.06
1542,2018,5,21,23132.94
1541,2018,5,22,23154.9
1540,2018,5,23,23143.82
1539,2018,5,24,23177.09
1538,2018,5,25,23375.44
1537,2018,5,28,23273.5
1536,2018,5,29,23259.51
1535,2018,5,30,23278.58
1534,2018,5,31,23300.74
1533,2018,6,1,23257.04
1532,2018,6,4,23166.48
1531,2018,6,5,23132.88
1530,2018,6,6,23179.25
1529,2018,6,7,23173.11
1528,2018,6,8,23159.9
1527,2018,6,11,23216.31
1526,2018,6,12,23180.44
1525,2018,6,13,23112.96
1524,2018,6,14,23264.19
1523,2018,6,15,23242.31
1522,2018,6,18,22832.99
1521,2018,6,19,22806.72
1520,2018,6,20,22786.29
1519,2018,6,21,22698.69
1518,2018,6,22,22653.92
1517,2018,6,25,22837.82
1516,2018,6,26,22643.5
1515,2018,6,27,22509.08
1514,2018,6,28,22396.6
1513,2018,6,29,22338.25
1512,2018,7,2,22393.51
1511,2018,7,3,22260.82
1510,2018,7,4,22456.12
1509,2018,7,5,22486.0
1508,2018,7,6,22504.88
1507,2018,7,9,22419.67
1506,2018,7,10,22564.66
1505,2018,7,11,22484.37
1504,2018,7,12,22233.06
1503,2018,7,13,22330.15
1502,2018,7,16,22252.33
1501,2018,7,17,22203.81
1500,2018,7,18,21976.38
1499,2018,7,19,21970.61
1498,2018,7,20,21900.82
1497,2018,7,23,22051.97
1496,2018,7,24,21953.06
1495,2018,7,25,21915.62
1494,2018,7,26,22039.96
1493,2018,7,27,21889.48
1492,2018,7,30,21880.43
1491,2018,7,31,21881.29
1490,2018,8,1,21872.6
1489,2018,8,2,21714.32
1488,2018,8,3,21592.49
1487,2018,8,6,21683.53
1486,2018,8,7,21593.42
