Release Date,Time,Actual,Forecast,Previous
04/19/2024,"116,242.78","115,015.51","116,852.05","114,727.94"
04/18/2024,"115,020.34","114,847.77","115,693.97","114,670.74"
04/17/2024,"114,302.76","115,568.08","116,944.59","114,210.01"
04/16/2024,"115,426.80","114,982.59","116,319.74","114,079.91"
04/15/2024,"114,811.92","111,520.89","115,201.47","111,514.56"
04/12/2024,"111,371.82","112,780.77","115,692.38","111,046.73"
04/11/2024,"112,669.53","110,951.17","113,064.27","110,593.95"
04/10/2024,"110,825.23","111,882.44","112,225.11","110,294.38"
04/09/2024,"111,748.03","111,219.28","112,472.17","111,121.50"
04/08/2024,"111,089.94","110,410.91","111,937.23","109,500.89"
04/05/2024,"110,250.97","108,456.38","110,411.52","107,382.79"
04/04/2024,"108,320.31","108,883.95","109,162.03","107,957.37"
04/03/2024,"108,740.89","107,532.05","108,962.82","106,865.23"
04/02/2024,"107,410.33","106,163.67","107,579.94","105,935.98"
04/01/2024,"106,049.89","105,837.42","107,096.02","105,075.91"
03/28/2024,"105,760.49","103,702.27","105,981.47","103,263.66"
03/27/2024,"103,568.51","104,194.83","104,448.48","103,069.80"
03/26/2024,"104,063.88","102,952.66","105,158.09","102,751.13"
03/25/2024,"102,821.95","100,904.45","103,393.55","100,651.23"
03/22/2024,"101,105.03","101,756.42","101,988.34","100,846.54"
03/21/2024,"101,628.36","102,533.85","104,253.80","101,067.00"
03/20/2024,"102,404.26","101,512.34","102,659.19","100,914.60"
03/19/2024,"101,384.51","101,765.58","101,989.66","101,068.13"
03/18/2024,"101,646.74","101,849.26","102,090.59","101,319.20"
03/15/2024,"102,927.16","103,373.54","103,881.15","103,018.27"
03/14/2024,"103,228.10","105,350.18","105,480.27","102,906.59"
03/13/2024,"105,185.06","105,328.96","105,928.17","104,392.53"
03/12/2024,"105,208.84","107,065.05","107,167.18","104,949.05"
03/11/2024,"106,938.59","107,041.10","107,700.58","106,600.70"
03/08/2024,"107,460.12","106,599.23","108,443.06","106,303.97"
03/07/2024,"106,457.93","106,451.01","107,154.41","106,006.53"
03/06/2024,"106,322.39","65,765.92","108,384.12","65,474.34"
03/05/2024,"65,629.98","65,334.86","66,192.31","65,196.38"
